accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.25,0.325,0.325,0.25,0.68994140625,0.009750000000000009,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3425,0.275,-8.5755615234375,0.02445750000000002,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.35825,0.2975,-11.27734375,0.03872377500000003,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.347425,0.29274999999999995,7.19921875,0.045062061750000035,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.3126825,0.26347499999999996,0.0,0.04371019989750003,4,4,5,3,0,7,2,0,1,0,3
0.0,0.0,0.28141425,0.23712749999999996,0.0,0.04239889390057503,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.30327282499999997,0.2634147499999999,-9.287109375,0.05612692708355779,4,4,4,4,2,8,0,0,0,0,4
0.25,0.325,0.30544554249999994,0.26207327499999994,-1.0999221801757812,0.06419311927105106,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.32490098824999997,0.28586594749999994,5.90771484375,0.07726732569291955,4,4,4,4,2,8,0,0,0,0,4
0.5,0.575,0.349910889425,0.30727935274999996,-17.96875,0.09219930592213198,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.33991980048250003,0.3015514174749999,18.9462890625,0.09693332674446802,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.35592782043425003,0.3213962757274999,10.1123046875,0.10902532694213399,4,4,4,4,2,8,0,0,0,0,4
0.25,0.325,0.35283503839082503,0.31425664815474996,0.0859375,0.11550456713386997,4,4,5,3,2,7,2,0,1,0,3
0.5,0.5,0.3675515345517425,0.33283098333927497,-0.45098876953125,0.12703943011985389,4,4,4,4,2,8,0,0,0,0,4
0.5,0.575,0.3882963810965683,0.34954788500534745,-11.0831298828125,0.1404782472162583,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.3744667429869114,0.33959309650481273,-5.921875,0.14376389979977056,4,4,4,4,1,8,0,0,0,0,4
0.0,0.075,0.34452006868822027,0.30563378685433146,-2.828125,0.14170098280577745,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.3350680618193983,0.3000704081688983,1.8037109375,0.14494995332160412,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.3265612556374585,0.29506336735200844,11.1754150390625,0.14810145472195602,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.34390513007371265,0.3155570306168076,0.7451171875,0.15865841108029735,4,4,4,4,2,8,0,0,0,0,4
0.0,0.075,0.3170146170663414,0.28400132755512686,-2.5986328125,0.15614865874788844,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.33531315535970724,0.3056011947996142,-6.2529296875,0.1664641989854518,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.3017818398237365,0.2750410753196528,0.0,0.16147027301588826,4,4,5,3,0,7,2,0,1,1,3
0.25,0.325,0.30410365584136284,0.2725369677876875,8.7431640625,0.16637616482541162,4,4,4,4,2,8,0,0,0,0,4
0.75,0.75,0.3486932902572265,0.32028327100891874,-0.3740234375,0.18388487988064928,4,4,4,4,3,8,0,0,0,0,4
0.0,0.0,0.31382396123150386,0.28825494390802686,0.0,0.17836833348422979,4,4,4,4,0,8,0,0,0,0,4
