accuracy,avg_reward,reward_ema,accuracy_ema,loss,baseline,batch_size,attempted,code_extracted,exec_ok,nonzero_reward,no_code,exec_error,stdout_empty,fallback_used,parse_failed,wrapped_action_code
0.25,0.25,0.25,0.25,16.3125,0.012500000000000011,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.25,0.25,5.984375,0.02437500000000002,4,4,5,3,1,7,2,0,1,0,3
0.0,0.0,0.225,0.225,0.0,0.02315625000000002,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.2275,0.2275,4.9375,0.034498437500000034,4,4,5,5,1,7,0,2,1,0,3
0.25,0.25,0.22975,0.22975,-1.71875,0.045273515625000045,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.256775,0.256775,-0.875,0.06800983984375006,4,4,4,4,2,8,0,0,0,0,4
0.75,0.75,0.30609749999999997,0.30609749999999997,-1.03125,0.10210934785156259,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.30048774999999994,0.30048774999999994,3.9453125,0.10950388045898446,4,4,4,4,1,8,0,0,0,0,4
0.5,0.5,0.32043897499999996,0.32043897499999996,14.6875,0.12902868643603527,4,4,4,4,2,8,0,0,0,0,4
0.5,0.575,0.3458950775,0.3383950775,11.25,0.1513272521142335,4,4,5,3,3,7,2,0,1,1,3
0.25,0.25,0.33630556975000003,0.32955556975,0.5,0.15626088950852185,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.327675012775,0.32160001277500005,-15.392578125,0.16094784503309575,4,4,4,4,1,8,0,0,0,0,4
0.75,0.75,0.3699075114975,0.36444001149750005,4.09375,0.190400452781441,4,4,4,4,3,8,0,0,0,0,4
0.5,0.5,0.38291676034775,0.37799601034775004,2.125,0.20588043014236895,4,4,5,4,2,7,1,0,0,0,4
0.25,0.25,0.369625084312975,0.36519640931297503,-0.0625,0.20808640863525052,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.3576625758816775,0.3536767683816775,-16.5,0.210182088203488,4,4,5,4,1,7,1,0,0,0,4
0.25,0.25,0.34689631829350975,0.34330909154350975,-13.107421875,0.2121729837933136,4,4,6,5,1,6,1,1,0,0,4
0.5,0.5,0.36220668646415877,0.3589781823891588,-1.4375,0.22656433460364792,4,4,4,4,2,8,0,0,0,0,4
0.5,0.5,0.3759860178177429,0.3730803641502429,4.6875,0.24023611787346552,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.3383874160359686,0.33577232773521865,0.0,0.22822431197979223,4,4,4,4,0,8,0,0,0,0,4
0.0,0.0,0.30454867443237177,0.3021950949616968,0.0,0.21681309638080262,4,4,4,4,0,8,0,0,0,0,4
0.25,0.25,0.29909380698913457,0.29697558546552705,7.390625,0.2184724415617625,4,4,5,5,1,7,0,1,0,0,4
0.5,0.5,0.3191844262902211,0.31727802691897433,-9.25,0.23254881948367437,4,4,4,4,2,8,0,0,0,0,4
0.25,0.25,0.31226598366119895,0.3105502242270769,5.3125,0.23342137850949066,4,4,4,4,1,8,0,0,0,0,4
0.25,0.25,0.306039385295079,0.3044952018043692,12.2734375,0.23425030958401613,4,4,4,4,1,8,0,0,0,0,4
0.75,0.75,0.35043544676557115,0.34904568162393224,2.25,0.2600377941048153,4,4,5,4,3,7,1,0,0,0,4
0.0,0.0,0.315391902089014,0.314141113461539,0.0,0.24703590439957454,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.3338527118801126,0.3327270021153851,-2.1875,0.25968410917959583,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.30046744069210135,0.2994543019038466,0.0,0.24669990372061604,4,4,5,5,0,7,0,1,0,0,4
0.5,0.5,0.3204206966228912,0.31950887171346193,-14.48828125,0.25936490853458527,4,4,4,4,2,8,0,0,0,0,4
0.0,0.0,0.28837862696060207,0.28755798454211573,0.0,0.246396663107856,4,4,4,4,0,8,0,0,0,0,4
0.75,0.75,0.3345407642645418,0.33380218608790413,5.6875,0.27157682995246324,4,4,4,4,3,8,0,0,0,0,4
0.25,0.25,0.3260866878380877,0.32542196747911367,-14.171875,0.2704979884548401,4,4,4,4,1,8,0,1,1,0,3
0.25,0.25,0.31847801905427897,0.3178797707312023,6.11328125,0.26947308903209805,4,4,4,4,1,8,0,0,0,0,4
0.0,0.0,0.28663021714885106,0.2860917936580821,0.0,0.2559994345804931,4,4,4,4,0,8,0,0,0,0,4
0.0,0.0,0.25796719543396596,0.2574826142922739,0.0,0.24319946285146846,4,4,5,3,0,7,2,0,1,0,3
0.0,0.0,0.23217047589056936,0.23173435286304653,0.0,0.231039489708895,4,4,5,3,0,7,2,0,1,1,3
0.0,0.0,0.20895342830151242,0.2085609175767419,0.0,0.21948751522345025,4,4,4,4,0,8,0,0,0,0,4
0.0,0.0,0.18805808547136119,0.1877048258190677,0.0,0.20851313946227773,4,4,4,4,0,8,0,0,0,0,4
0.5,0.5,0.21925227692422505,0.2189343432371609,18.875,0.22308748248916385,4,4,4,4,2,8,0,0,0,0,4
